,Options,Futures,Swaps
0,0.8689284805459988,0.0,0.6938793928553052
1,0.8865396827206633,0.09756816726926723,0.7463846199051057
2,0.9036584133962944,0.1374120721341464,0.7412975338324808
3,0.9551239479706596,0.14115755841205205,0.7446896277524242
4,0.9844683681332604,0.16846517108940426,0.7474411786108894
5,0.9863323575112823,0.18539196973858788,0.7896036559933112
6,0.9192577853421084,0.22449049436245017,0.7641923453377207
7,0.9119462943828697,0.2594464061463885,0.7883284277222122
8,0.9598641254480875,0.35092640503278305,0.7455890771379082
9,1.0,0.33064301042515665,0.7888520567112652
10,0.9783100375859777,0.3475028168807998,0.7990264248837258
11,0.9440675035003229,0.26840574254589905,0.7882196817764299
12,0.9586444415896143,0.32294405098371753,0.822191554197112
13,0.9123392327282857,0.3267942096745118,0.791028863940161
14,0.8644892484550044,0.26546460393643667,0.8466307764818991
15,0.8793042811100161,0.2422259174561464,0.8094229150503977
16,0.8222886185429554,0.18891442534124145,0.8025151625218441
17,0.797129902872631,0.21751568983963396,0.7869909953061839
18,0.7995826416217842,0.2175703266429808,0.7986111698301872
19,0.7962744215973319,0.23490188976062465,0.7795237293592079
20,0.7607135032882502,0.2180957181373734,0.7684094862439131
21,0.7162039804317716,0.1556405380811597,0.7727753178339359
22,0.659367333433748,0.10231025531046722,0.7853659874534279
23,0.6651284614632424,0.10488530650566621,0.8056643804617825
24,0.6999480755011246,0.14725143372017732,0.7691794516347935
25,0.6711185858832217,0.1278417701660284,0.7433567413922714
26,0.6330512573724241,0.12877277617238442,0.7442276602918814
27,0.6083105293054714,0.18074873099705785,0.7568526887595999
28,0.6716451102107472,0.22961514687943654,0.8106216956447997
29,0.6991200269356183,0.2139610849607161,0.7788642311761022
30,0.6982124585817526,0.19781354579145746,0.8133721068373743
31,0.7385904288529254,0.2312218581119706,0.82294847320437
32,0.7435168759175445,0.23221401724295274,0.8740047289715933
33,0.7140629886571574,0.26319105558788713,0.928250196640432
34,0.6567466709177168,0.22613260900291685,0.9560066731313823
35,0.674712033682619,0.31216909151772765,0.943032796677867
36,0.7665027514430228,0.3722716737230499,0.9859077276013406
37,0.8401735773222035,0.39147742091808113,0.9596161042630867
38,0.8632318112910281,0.37307025695452745,0.9825561709865567
39,0.8878691516325713,0.3594906961316532,0.9999842758740222
40,0.9051348605255618,0.37347478862123284,0.9665719067690007
41,0.9284722257649086,0.4301294879298516,0.9452738927190291
42,0.9403769067227187,0.40764688400401544,0.9990329675460755
43,0.9653528445484764,0.42054206365915414,0.9754072688107784
44,0.9343740271945825,0.4015400762668099,0.9755851778452285
45,0.9430197890282564,0.4327517989468655,0.9918877558308827
46,0.9087383943632369,0.46560912552219663,0.9586987112674256
47,0.9370593118241639,0.4789155558973802,0.962858704295614
48,0.9595080921955075,0.5868738737022894,0.9900053454334219
49,0.969663832066321,0.6394098298686898,0.9502158713968344
50,0.9477057432402073,0.646138288643075,1.0
51,0.9129146880621606,0.6206661507686903,0.9963098400719866
52,0.9033338596663394,0.6808130962223475,0.9634913289592981
